%SECTION%1%;Nodes;
%FIELDS%;node_id;x;y;lat;lon;name;specification;
%DESRIPTION%;ID;x-coordination;y-coordination;latitude;longitude;name;{'', gate, runway, holding_point, intermediate};
;1;801716.0596537133;2470893.4855102254;8.0;30.0;;intermediate;
;2;801330.6561199271;2470744.9648822583;12.0;23.0;;intermediate;
;3;802299.9937482106;2470153.847495271;17.0;19.0;;intermediate;
;4;798639.4795847886;2468405.7107606977;24.0;18.0;;intermediate;
;5;799110.9930436951;2468463.3085652483;27.0;18.0;;intermediate;
;6;799138.92696493;2468472.745895642;38.0;18.0;;intermediate;
;7;799206.3235254559;2468502.9813083345;42.0;19,0;;intermediate;
;8;799463.9946290719;2468527.571005325;44.0;22.0;;intermediate;
;9;799358.1030860718;2468560.222446875;28.0;23.0;;intermediate;
;10;799373.7543908211;2468563.1616608147;33.0;27.0;;intermediate;
;11;799445.4327664736;2468575.0712739006;35.0;28.0;;intermediate;
;12;798580.7958907979;2468566.7204143545;39.0;30.0;;intermediate;
;13;799423.8218136118;2468583.288941058;45.0;29.0;;intermediate;
;14;799423.8218136118;2468583.288941058;50.0;29.0;;intermediate;
%SECTION%1%;Edges;
%FIELDS%;edge_id;start_node;end_node;directed;length;specification;traversal_time;name;
%DESCRIPTION%;ID;node_id;node_id;0 for undirected, 1 for directed;[m];{gate,runway,taxiway,taxiwayrunway,other};[s];name;
;1;1;2;0;8.06225775;taxiway;8.06225775;;
;2;2;3;0;6.40312424;taxiway;6.40312424;;
;3;3;4;0;7.07106781;taxiway;7.07106781;;
;4;4;5;0;3;taxiway;3;;
;5;5;6;0;11;taxiway;11;;
;6;6;7;0;4.12310563;taxiway;4.12310563;;
;7;7;8;0;3.60555128;taxiway;3.60555128;;
;8;8;13;0;7.07106781;taxiway;7.07106781;;
;9;5;9;0;5.09901951;taxiway;5.09901951;;
;10;9;10;0;6.40312424;taxiway;6.40312424;;
;11;10;11;0;2.23606798;taxiway;2.23606798;;
;12;11;12;0;4.47213595;taxiway;4.47213595;;
;13;12;13;0;6.08276253;taxiway;6.08276253;;
;14;13;14;0;5;taxiway;5;;
